Account Statement for 00000001 () since 1/21/21 through 1/21/21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cash Balance,,,,,,,,,,,,,
DATE,TIME,TYPE,DESCRIPTION,Commissions & Fees,AMOUNT,BALANCE,,,,,,,
1/21/2021,14:14:32,TRD,SOLD -2 AMD @91.55,,183.1,"29,685.29",,,,,,,
1/21/2021,14:15:54,TRD,SOLD -4 AMD @91.4725,,365.89,"30,051.17",,,,,,,
1/21/2021,14:17:30,TRD,BOT +1 AMD @91.70,,-91.71,"29,959.46",,,,,,,
1/21/2021,14:17:56,TRD,BOT +9 AMD @91.65556,,-824.9,"29,134.56",,,,,,,
1/21/2021,14:18:25,TRD,SOLD -1 AMD @91.71,,91.71,"29,226.27",,,,,,,
1/21/2021,14:18:33,TRD,SOLD -1 AMD @91.72,,91.72,"29,317.99",,,,,,,
1/21/2021,14:18:38,TRD,SOLD -1 AMD @91.74,,91.75,"29,409.74",,,,,,,
1/21/2021,14:18:51,TRD,SOLD -1 AMD @91.73,,91.73,"29,501.47",,,,,,,
1/21/2021,14:19:16,TRD,SOLD -1 AMD @91.78,,91.78,"29,593.25",,,,,,,
1/21/2021,14:20:23,TRD,SOLD -1 AMD @91.80,,91.81,"29,685.06",,,,,,,
1/21/2021,14:22:23,TRD,SOLD -1 AMD @91.86,,91.86,"29,776.92",,,,,,,
1/21/2021,14:23:37,TRD,SOLD -1 AMD @92.01,,92.01,"29,868.93",,,,,,,
1/21/2021,14:40:32,TRD,SOLD -2 AMD @91.65,,183.3,"30,052.23",,,,,,,
1/21/2021,14:43:53,TRD,BOT +5 FB @272.352,,"-1,361.76","28,690.47",,,,,,,
1/21/2021,14:44:15,TRD,SOLD -1 FB @272.40,,272.4,"28,962.86",,,,,,,
1/21/2021,14:44:25,TRD,SOLD -1 FB @272.39,,272.39,"29,235.24",,,,,,,
1/21/2021,14:44:36,TRD,SOLD -1 FB @272.39,,272.39,"29,507.62",,,,,,,
1/21/2021,14:44:39,TRD,SOLD -1 FB @272.46,,272.47,"29,780.08",,,,,,,
1/21/2021,14:48:42,TRD,SOLD -1 FB @272.46,,272.46,"30,052.53",,,,,,,
1/21/2021,14:55:22,TRD,BOT +5 FB @272.868,,"-1,364.34","28,688.19",,,,,,,
1/21/2021,14:55:36,TRD,SOLD -1 FB @272.88,,272.88,"28,961.06",,,,,,,
1/21/2021,14:55:42,TRD,SOLD -1 FB @272.94,,272.94,"29,233.99",,,,,,,
1/21/2021,14:55:53,TRD,SOLD -1 FB @272.96,,272.96,"29,506.94",,,,,,,
1/21/2021,14:56:18,TRD,SOLD -2 FB @272.82,,545.64,"30,052.57",,,,,,,
1/21/2021,14:57:04,TRD,BOT +5 FB @272.836,,"-1,364.18","28,688.39",,,,,,,
1/21/2021,14:57:52,TRD,SOLD -1 FB @272.87,,272.87,"28,961.25",,,,,,,
1/21/2021,14:58:00,TRD,SOLD -1 FB @272.88,,272.88,"29,234.12",,,,,,,
1/21/2021,14:58:03,TRD,SOLD -1 FB @272.90,,272.91,"29,507.02",,,,,,,
1/21/2021,15:02:30,TRD,SOLD -2 FB @272.81,,545.62,"30,052.63",,,,,,,
,,,TOTAL,,($7.48),"$30,052.63 ",,,,,,,
,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,
,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Total Cash $30,052.63",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,
,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,1/21/2021 15:02,STOCK,SELL,-2,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 15:02,STOCK,SELL,-100%,TO CLOSE,FB,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 14:58,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:57,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:57,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:57,STOCK,BUY,5,TO OPEN,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:56,STOCK,SELL,-2,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:56,STOCK,SELL,-100%,TO CLOSE,FB,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 14:55,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:55,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:55,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:55,STOCK,BUY,5,TO OPEN,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:46,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,272.5,STP,STD,
,1/21/2021 14:44,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:44,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:44,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:44,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:43,STOCK,BUY,5,TO OPEN,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:37,STOCK,SELL,-2,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,91.66,STP,STD,
,1/21/2021 14:23,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:22,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:20,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:19,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:18,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:18,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:18,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:18,STOCK,SELL,-1,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:17,STOCK,BUY,9,TO OPEN,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:17,STOCK,BUY,1,TO OPEN,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:15,STOCK,SELL,-4,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:15,STOCK,SELL,-100%,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 14:14,STOCK,SELL,-2,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:14,STOCK,SELL,-2,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:14,STOCK,SELL,-2,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:14,STOCK,BUY,10,TO OPEN,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:11,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:11,STOCK,SELL,-100%,TO CLOSE,FB,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 14:11,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:11,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:11,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:11,STOCK,SELL,-1,TO CLOSE,FB,,,STOCK,~,MKT,DAY,FILLED
